lambda		value

Calibration:
lambda:	800
Abs:	0.0002

Data:
#
900		0.231616
899.5		0.249213
899		0.259084
898.5		0.268712
898		0.251632
897.5		0.269231
897		0.268621
896.5		0.258497
896		0.258081
895.5		0.263706
895		0.260517
894.5		0.263793
894		0.259026
893.5		0.275699
893		0.262849
892.5		0.244838
892		0.262413
891.5		0.262318
891		0.278008
890.5		0.256785
890		0.2606
889.5		0.256735
889		0.260691
888.5		0.266117
888		0.264411
887.5		0.253925
887		0.255975
886.5		0.280947
886		0.269631
885.5		0.25902
885		0.255558
884.5		0.265606
884		0.280066
883.5		0.266813
883		0.273868
882.5		0.270055
882		0.253573
881.5		0.267781
881		0.266242
880.5		0.271372
880		0.274084
879.5		0.27281
879		0.272469
878.5		0.266814
878		0.268072
877.5		0.265741
877		0.269901
876.5		0.270886
876		0.271371
875.5		0.269949
875		0.267973
874.5		0.269827
874		0.273561
873.5		0.267201
873		0.271359
872.5		0.270743
872		0.267377
871.5		0.27561
871		0.276159
870.5		0.276116
870		0.269643
869.5		0.27368
869		0.274682
868.5		0.274767
868		0.275704
867.5		0.274545
867		0.273554
866.5		0.277082
866		0.272564
865.5		0.275317
865		0.278108
864.5		0.271062
864		0.277661
863.5		0.275597
863		0.273125
862.5		0.279021
862		0.276627
861.5		0.27955
861		0.283876
860.5		0.280169
860		0.277128
859.5		0.2779
859		0.278643
858.5		0.276701
858		0.279234
857.5		0.281578
857		0.280393
856.5		0.27998
856		0.279243
855.5		0.280127
855		0.28274
854.5		0.28232
854		0.280516
853.5		0.283262
853		0.284142
852.5		0.281195
852		0.282299
851.5		0.28536
851		0.284402
850.5		0.283523
850		0.286818
849.5		0.285601
849		0.285262
848.5		0.28601
848		0.286434
847.5		0.285855
847		0.286702
846.5		0.287517
846		0.288678
845.5		0.288953
845		0.289018
844.5		0.288367
844		0.288608
843.5		0.288511
843		0.289806
842.5		0.291238
842		0.289702
841.5		0.292149
841		0.290835
840.5		0.292116
840		0.292885
839.5		0.290453
839		0.293448
838.5		0.292688
838		0.294205
837.5		0.292697
837		0.29477
836.5		0.29483
836		0.294706
835.5		0.294613
835		0.296149
834.5		0.295689
834		0.296822
833.5		0.296715
833		0.296226
832.5		0.297176
832		0.297722
831.5		0.298171
831		0.298448
830.5		0.299272
830		0.299005
829.5		0.300219
829		0.299354
828.5		0.300907
828		0.300528
827.5		0.301027
827		0.301236
826.5		0.301325
826		0.301198
825.5		0.302103
825		0.302855
824.5		0.302755
824		0.302806
823.5		0.303648
823		0.303085
822.5		0.305475
822		0.303103
821.5		0.303866
821		0.305134
820.5		0.305184
820		0.304943
819.5		0.306031
819		0.306753
818.5		0.306241
818		0.306807
817.5		0.308163
817		0.308969
816.5		0.307485
816		0.307116
815.5		0.307769
815		0.309033
814.5		0.308931
814		0.309355
813.5		0.310649
813		0.310262
812.5		0.310445
812		0.3106
811.5		0.310611
811		0.311069
810.5		0.31187
810		0.311669
809.5		0.31255
809		0.313251
808.5		0.314088
808		0.313725
807.5		0.313413
807		0.314131
806.5		0.315047
806		0.315178
805.5		0.314443
805		0.315442
804.5		0.315205
804		0.31498
803.5		0.316617
803		0.316583
802.5		0.317564
802		0.317297
801.5		0.317805
801		0.319371
800.5		0.317978
800		0.318664
799.5		0.319064
799		0.318994
798.5		0.31934
798		0.32094
797.5		0.32121
797		0.321607
796.5		0.320779
796		0.321322
795.5		0.321981
795		0.3221
794.5		0.322503
794		0.322813
793.5		0.322555
793		0.323765
792.5		0.32387
792		0.325623
791.5		0.324953
791		0.324408
790.5		0.325609
790		0.324696
789.5		0.326302
789		0.326677
788.5		0.3264
788		0.327478
